0,0,0,1,0,0,0
0.7,0.62805,0.16908,0.79443,0.48308,-0.29367,0.69011
1.4,1.0423,0.62399,0.38904,0.81666,-0.57914,0.47655
2.1,1.3597,1.3738,0.51779,1.3256,0.18394,0.72709
2.8,1.769,2.4601,0.65177,1.7782,0.19139,0.64649
3.5,2.1388,3.611,0.6638,1.4184,-0.35265,-0.38315
4.2,2.4204,4.5887,0.1406,1.375,-0.74743,-0.06202
4.9,2.6316,5.4061,0.46292,0.96061,0.46045,-0.59202
5.6,3.1254,6.1488,0.94801,1.1614,0.69299,0.28683
6.3,3.9597,6.8936,1.4355,0.96651,0.69642,-0.27839
7,5.0887,7.5348,1.7266,0.62849,0.5071,-0.14421
7.7,6.1257,8.0403,1.2361,0.81572,-0.70069,0.26747
8.4,6.8643,8.4783,0.87403,0.43558,-0.51729,-0.54306
9.1,7.6345,8.8763,1.3266,0.70175,0.64646,0.38024
9.8,8.6966,9.2704,1.7081,0.42417,0.54507,-0.39654
